Date,Open,High,Low,Close,Adj Close,Volume
2023-01-01,150.0,155.0,149.0,153.0,153.0,1000000
2023-01-02,153.0,158.0,152.0,157.0,157.0,1100000
2023-01-03,157.0,159.0,155.0,156.0,156.0,900000
2023-01-04,156.0,162.0,156.0,161.0,161.0,1200000
2023-01-05,161.0,165.0,160.0,164.0,164.0,1300000
2023-01-06,164.0,163.0,158.0,160.0,160.0,1000000
2023-01-07,160.0,161.0,157.0,158.0,158.0,800000
2023-01-08,158.0,160.0,155.0,156.0,156.0,950000
2023-01-09,156.0,158.0,154.0,157.0,157.0,1050000
2023-01-10,157.0,162.0,157.0,161.0,161.0,1150000
